IncidentKey,Offense,Latitude,Longitude,Cluster,Score,Hour,Minute,Day,Month,Year
1,Driving Under the Influence,38.065002,-78.486684,19,25.47781829793444,16,27,23,03,2023
2,Vandalism,38.022262,-78.508608,58,49.77464829275686,08,16,23,03,2023
3,Motor Vehicle Theft,38.0165856,-78.48562397334166,67,38.63972356627127,07,54,23,03,2023
4,Assault Simple,38.055399,-78.501326,28,46.8032828919381,07,40,23,03,2023
5,Larceny - Of Veh Parts/Access,38.035884,-78.48427107891689,44,45.06626583083122,21,07,23,03,2023
6,Disorderly Conduct,38.0340693,-78.4751805470014,39,24.03629965254518,20,48,23,03,2023
7,Assault Aggravated,38.0591827,-78.4997355939503,54,65.84474103374922,20,05,23,03,2023
8,Larceny - All Other,38.03078815,-78.4878788010196,49,30.87146939593639,17,30,22,03,2023
9,Harassment,38.03523435,-78.49317759003037,69,42.53101394594943,11,40,22,03,2023
10,Sex Offense,38.031672150000006,-78.48207537296204,74,59.85796743051306,11,20,22,03,2023
11,Vandalism,38.015732,-78.481043,68,54.91661978556045,10,33,22,03,2023
12,Vandalism,38.0316444,-78.481579,74,59.85796743051306,09,18,22,03,2023
13,Assault Aggravated,38.057975600000006,-78.49398353428293,59,34.60385394870243,07,00,22,03,2023
14,Larceny - All Other,38.0356532,-78.5008065,42,38.79853973946922,21,09,22,03,2023
15,Larceny - Theft from Building,38.03078815,-78.4878788010196,49,30.87146939593639,17,50,21,03,2023
16,Hit and Run,38.059631,-78.493202,2,39.37584991792697,17,16,21,03,2023
17,Assault Simple,38.02463865,-78.49439386969078,73,38.7509570575753,16,56,21,03,2023
18,Hit and Run,38.021123,-78.48132,8,44.41680250776333,15,24,21,03,2023
19,Vandalism,38.0272458,-78.472382,15,32.843055466806334,11,46,21,03,2023
20,Larceny - From Motor Vehicle,38.0406816,-78.47127109606862,6,41.33126465095743,11,45,21,03,2023
21,Larceny - Theft from Building,38.057975600000006,-78.49398353428293,59,34.60385394870243,10,59,21,03,2023
22,Larceny - From Motor Vehicle,38.038665,-78.466139,50,55.730580811826,10,48,21,03,2023
23,Shots Fired/Illegal Hunting,38.033312,-78.490383,12,46.783024077951374,02,32,21,03,2023
24,Harassment,38.0389241,-78.48681954126344,7,37.73303578736149,18,44,20,03,2023
25,Larceny - Of Veh Parts/Access,38.047936,-78.458791,18,37.972949770904734,13,46,20,03,2023
26,Larceny - Theft from Building,38.02235,-78.469476,64,65.59648365868483,09,51,20,03,2023
27,Vandalism,38.029051,-78.481339,4,52.85000143483159,09,30,20,03,2023
28,Larceny - From Motor Vehicle,38.051108,-78.504188,56,74.54929658551373,08,50,20,03,2023
29,Larceny - From Motor Vehicle,38.028565,-78.485949,52,45.32394487827058,06,29,20,03,2023
30,Larceny - All Other,38.01498,-78.503589,37,49.77464829275686,20,10,20,03,2023
31,Larceny - Theft from Building,38.039421,-78.511284,29,84.06378865780026,19,59,19,03,2023
32,Disorderly Conduct,38.03261011316929,-78.48449144968406,61,49.74280668117561,19,15,19,03,2023
33,Burglary,38.0604515,-78.50208693484393,54,65.84474103374922,15,43,19,03,2023
34,Assault Simple,38.0316444,-78.481579,74,59.85796743051306,14,51,19,03,2023
35,Assault Simple,38.014199,-78.500077,10,65.22756754965607,11,53,19,03,2023
36,Motor Vehicle Theft,38.0557983,-78.49442917405682,59,34.60385394870243,11,12,19,03,2023
37,Larceny - From Motor Vehicle,38.04243975,-78.48430179983185,72,42.043546705922445,09,39,19,03,2023
38,Driving Under the Influence,38.065002,-78.486684,19,25.47781829793444,01,52,19,03,2023
39,Assault Simple,38.03261011316929,-78.48449144968406,61,49.74280668117561,14,04,18,03,2023
40,Harassment,38.0424506,-78.4751974,21,47.91308112764411,11,37,18,03,2023
41,Assault Intimidation,38.0328971,-78.4960728,35,48.97695789545851,10,48,18,03,2023
42,Vandalism,38.03391375,-78.49426260112143,69,42.53101394594943,09,29,18,03,2023
43,Burglary,38.02463865,-78.49439386969078,73,38.7509570575753,06,25,18,03,2023
44,Weapons Violations,38.0356532,-78.5008065,42,38.79853973946922,03,10,18,03,2023
45,Homicide-murder/non-negligent,38.0349194,-78.5005286,42,38.79853973946922,01,57,18,03,2023
46,Assault Simple,38.024145,-78.503345,58,49.77464829275686,00,15,18,03,2023
47,Larceny - Theft from Building,38.031512,-78.507725,16,39.77468682452661,17,10,17,03,2023
48,Larceny - Theft from Building,38.059631,-78.493202,2,39.37584991792697,16,05,17,03,2023
49,Larceny - From Motor Vehicle,38.0376279,-78.4833286518018,44,45.06626583083122,12,12,17,03,2023
50,Vandalism,38.025888,-78.488968,41,20.68551264739651,12,01,17,03,2023
51,Misc - Criminal Call,38.020529,-78.499344,31,44.31340579927393,10,25,17,03,2023
52,Harassment,38.0406816,-78.47127109606862,6,41.33126465095743,22,59,17,03,2023
53,Assault Aggravated,38.039406,-78.494495,46,35.66715143579057,21,08,17,03,2023
54,Robbery - Armed,38.0249068,-78.4764196155746,63,50.39321091367852,20,46,17,03,2023
55,Hit and Run,38.031935,-78.502684,42,38.79853973946922,20,05,17,03,2023
56,Assault Aggravated,38.022905,-78.495698,70,47.96437918643496,15,10,16,03,2023
57,Larceny - Theft from Building,38.030644,-78.492812,34,38.724456410567214,22,15,16,03,2023
58,Larceny - All Other,38.031655,-78.490994,12,46.783024077951374,20,26,16,03,2023
59,Assault Aggravated,38.0309749,-78.48848215321397,49,30.87146939593639,20,19,16,03,2023
60,Assault Simple,38.0340693,-78.4751805470014,39,24.03629965254518,18,09,15,03,2023
61,Larceny - Theft from Building,38.051672,-78.499994,9,49.76487094809882,18,07,15,03,2023
62,Larceny - Theft from Building,38.02847215,-78.5146406040404,27,54.24586610170847,17,56,15,03,2023
63,Assault Simple,38.032802,-78.496112,35,48.97695789545851,11,02,15,03,2023
64,Vandalism,38.065002,-78.486684,19,25.47781829793444,11,23,14,03,2023
65,Larceny - Theft from Building,38.03078815,-78.4878788010196,49,30.87146939593639,10,46,14,03,2023
66,Larceny - Theft from Building,38.03078815,-78.4878788010196,49,30.87146939593639,10,31,14,03,2023
67,Hit and Run,38.032706,-78.495897,35,48.97695789545851,10,18,14,03,2023
68,Larceny - All Other,38.03068046464647,-78.48714028282828,49,30.87146939593639,05,54,14,03,2023
69,Hit and Run,38.059631,-78.493202,2,39.37584991792697,17,32,13,03,2023
70,Larceny - Theft from Building,38.034719650943394,-78.50033363207547,42,38.79853973946922,13,40,13,03,2023
71,Motor Vehicle Theft,38.03472425,-78.4919922607628,69,42.53101394594943,10,12,13,03,2023
72,Assault Aggravated,38.01498,-78.503589,37,49.77464829275686,01,46,13,03,2023
73,Misc - Criminal Call,38.017579,-78.496797,31,44.31340579927393,18,01,12,03,2023
74,Larceny - All Other,38.03066325,-78.48266049348734,74,59.85796743051306,17,44,12,03,2023
75,Motor Vehicle Theft,38.028778,-78.462683,65,47.01735473027565,07,38,12,03,2023
76,Larceny - All Other,38.0257419,-78.51899614506682,40,37.642267026734494,00,58,12,03,2023
77,Hit and Run,38.051672,-78.499994,9,49.76487094809882,18,45,11,03,2023
78,Vandalism,38.036071,-78.501318,42,38.79853973946922,15,12,11,03,2023
79,Death Investigation - DOA,38.019474,-78.514667,5,59.07676890468994,07,22,11,03,2023
80,Driving Under the Influence,38.028181,-78.47209,15,32.843055466806334,02,07,11,03,2023
81,Hit and Run,38.058831,-78.488875,30,19.8975963534891,20,02,11,03,2023
82,Larceny - All Other,38.038883,-78.502082,20,43.053130952674415,17,07,10,03,2023
83,Assault Intimidation,38.03040590909091,-78.47779809090909,53,52.3367096449612,08,42,10,03,2023
84,Hit and Run,38.058831,-78.488875,30,19.8975963534891,18,59,09,03,2023
85,Burglary,38.0434708,-78.49434629999999,46,35.66715143579057,17,57,09,03,2023
86,Larceny - Theft from Building,38.0272458,-78.472382,15,32.843055466806334,15,17,09,03,2023
87,Drug/Narcotics Violation,38.01726095,-78.47775250121046,38,53.36492015215822,15,16,09,03,2023
88,Disorderly Conduct,38.05915887170204,-78.49357783324338,2,39.37584991792697,10,24,09,03,2023
89,Larceny - From Motor Vehicle,38.031964,-78.466894,13,69.67529530397307,22,10,09,03,2023
90,Unauthorized Use of Motor Veh,38.0299348,-78.4800205968188,4,52.85000143483159,21,43,09,03,2023
91,Driving Under the Influence,38.059631,-78.493202,2,39.37584991792697,19,55,09,03,2023
92,Larceny - From Motor Vehicle,38.02801,-78.484389,52,45.32394487827058,19,50,09,03,2023
93,Harassment,38.03383535,-78.48239896185194,61,49.74280668117561,14,04,08,03,2023
94,Larceny - From Motor Vehicle,38.0239967,-78.48800635284567,41,20.68551264739651,12,17,08,03,2023
95,Assault Simple,38.034984,-78.461602,22,39.00350229189195,09,59,08,03,2023
96,Assault Aggravated,38.031655,-78.490994,12,46.783024077951374,19,59,08,03,2023
97,Assault Simple,38.0389241,-78.48681954126344,7,37.73303578736149,16,51,07,03,2023
98,Larceny - From Motor Vehicle,38.02235,-78.469476,64,65.59648365868483,15,55,07,03,2023
99,Assault Simple,38.011214,-78.518386,57,39.64862909245788,13,19,07,03,2023
100,Hit and Run,38.065002,-78.486684,19,25.47781829793444,12,07,07,03,2023
